#YY  ,MM ,DD ,hh ,mm ,WDIR, WSPD, GST  ,WVHT ,  DPD ,  APD ,MWD ,  PRES , ATMP  ,WTMP , DEWP , VIS , TIDE
#yr  ,mo ,dy ,hr ,mn ,degT, m/s , m/s  ,   m ,  sec ,  sec ,degT,   hPa , degC  ,degC , degC ,  mi ,   ft
2021,1,4,5,26,999,99.0,99.0,1.70,12.50,11.39,351,9999.0,999.0,12.4,999.0,99.0,99.00
2021,1,4,5,56,999,99.0,99.0,1.60,15.38,11.33,352,9999.0,999.0,12.4,999.0,99.0,99.00
2021,1,4,6,26,999,99.0,99.0,1.76,15.38,11.54,359,9999.0,999.0,12.4,999.0,99.0,99.00
2021,1,4,6,56,999,99.0,99.0,1.62,13.33,11.65,349,9999.0,999.0,12.4,999.0,99.0,99.00
2021,1,4,7,26,999,99.0,99.0,1.65,13.33,11.72,349,9999.0,999.0,12.3,999.0,99.0,99.00
2021,1,4,7,56,999,99.0,99.0,1.83,11.76,11.57,345,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,4,8,26,999,99.0,99.0,1.78,15.38,11.93,353,9999.0,999.0,12.1,999.0,99.0,99.00
2021,1,4,8,56,999,99.0,99.0,1.69,12.50,11.48,348,9999.0,999.0,12.2,999.0,99.0,99.00
2021,1,4,9,26,999,99.0,99.0,1.67,11.76,11.86,345,9999.0,999.0,12.1,999.0,99.0,99.00
2021,1,4,9,56,999,99.0,99.0,1.72,12.50,11.86,346,9999.0,999.0,12.1,999.0,99.0,99.00
2021,1,4,10,26,999,99.0,99.0,1.67,12.50,11.85,349,9999.0,999.0,12.1,999.0,99.0,99.00
2021,1,4,10,56,999,99.0,99.0,1.74,13.33,12.02,351,9999.0,999.0,12.1,999.0,99.0,99.00
2021,1,4,11,26,999,99.0,99.0,1.50,12.50,11.70,348,9999.0,999.0,12.1,999.0,99.0,99.00
2021,1,4,11,56,999,99.0,99.0,1.62,12.50,11.96,346,9999.0,999.0,12.1,999.0,99.0,99.00
2021,1,4,12,26,999,99.0,99.0,1.52,12.50,11.64,351,9999.0,999.0,12.1,999.0,99.0,99.00
2021,1,4,12,56,999,99.0,99.0,1.65,12.50,11.66,348,9999.0,999.0,12.0,999.0,99.0,99.00
2021,1,4,13,26,999,99.0,99.0,1.71,15.38,11.92,5,9999.0,999.0,12.0,999.0,99.0,99.00
