#YY  ,MM ,DD ,hh ,mm ,WDIR, WSPD, GST  ,WVHT ,  DPD  , APD ,MWD ,  PRES , ATMP  ,WTMP , DEWP , VIS , TIDE
#yr  ,mo ,dy ,hr ,mn ,degT, m/s , m/s  ,   m ,  sec  , sec ,degT,   hPa , degC  ,degC , degC ,  mi ,   ft
2017,1,3,5,19,999,99.0,99.0,1.03,10.53,8.93,346,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,5,49,999,99.0,99.0,1.21,14.29,9.52,0,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,6,19,999,99.0,99.0,1.11,9.88,8.92,342,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,6,49,999,99.0,99.0,1.12,10.53,8.89,346,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,3,7,19,999,99.0,99.0,1.09,11.11,9.42,349,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,7,49,999,99.0,99.0,0.98,11.11,9.25,351,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,8,19,999,99.0,99.0,0.95,11.11,9.22,346,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,8,49,999,99.0,99.0,1.09,13.33,9.64,356,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,9,19,999,99.0,99.0,1.13,12.50,9.83,352,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,9,49,999,99.0,99.0,1.04,12.50,9.35,351,9999.0,999.0,11.8,999.0,99.0,99.00
2017,1,3,10,19,999,99.0,99.0,1.22,10.53,9.50,345,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,10,49,999,99.0,99.0,1.14,11.11,9.77,343,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,11,19,999,99.0,99.0,1.11,11.11,9.64,346,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,11,49,999,99.0,99.0,1.12,11.76,9.81,346,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,12,19,999,99.0,99.0,1.06,10.53,9.74,339,9999.0,999.0,11.7,999.0,99.0,99.00
2017,1,3,12,49,999,99.0,99.0,1.07,11.11,9.62,342,9999.0,999.0,11.8,999.0,99.0,99.00
2017,1,3,13,19,999,99.0,99.0,0.98,10.53,9.50,342,9999.0,999.0,11.8,999.0,99.0,99.00
2017,1,3,13,49,999,99.0,99.0,0.87,10.53,9.34,342,9999.0,999.0,11.8,999.0,99.0,99.00
2017,1,3,14,19,999,99.0,99.0,0.89,10.53,9.57,342,9999.0,999.0,11.8,999.0,99.0,99.00
2017,1,3,14,49,999,99.0,99.0,0.95,10.53,9.69,342,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,15,19,999,99.0,99.0,0.95,11.11,9.46,341,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,15,49,999,99.0,99.0,0.92,9.88,9.08,343,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,16,19,999,99.0,99.0,0.85,10.53,9.13,339,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,16,49,999,99.0,99.0,0.88,9.88,9.38,338,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,17,19,999,99.0,99.0,0.81,9.88,9.06,341,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,17,49,999,99.0,99.0,0.79,10.53,9.52,345,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,18,19,999,99.0,99.0,0.83,13.33,9.88,356,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,3,18,49,999,99.0,99.0,0.74,11.11,9.59,345,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,3,19,19,999,99.0,99.0,0.73,10.53,9.82,343,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,3,19,49,999,99.0,99.0,0.77,10.53,9.86,342,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,3,20,19,999,99.0,99.0,0.75,11.76,9.84,349,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,3,20,49,999,99.0,99.0,0.75,11.76,9.87,346,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,3,21,19,999,99.0,99.0,0.68,11.11,9.32,345,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,3,21,49,999,99.0,99.0,0.87,12.50 1,0.24,349,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,3,22,19,999,99.0,99.0,0.69,9.88,9.67,339,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,3,22,49,999,99.0,99.0,0.78,12.50 1,0.28,352,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,3,23,19,999,99.0,99.0,0.66,11.11 1,0.17,348,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,3,23,49,999,99.0,99.0,0.63,12.50 1,0.18,352,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,4,0,19,999,99.0,99.0,0.61,11.76,9.95,352,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,4,0,49,999,99.0,99.0,0.61,11.11,9.75,345,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,4,1,19,999,99.0,99.0,0.61,11.11,9.85,346,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,4,1,49,999,99.0,99.0,0.57,11.76,9.77,349,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,4,2,19,999,99.0,99.0,0.53,11.76,9.79,348,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,4,2,49,999,99.0,99.0,0.53,11.11,9.28,349,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,4,3,19,999,99.0,99.0,0.55,11.11,8.76,349,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,4,3,49,999,99.0,99.0,0.51,11.11,9.15,345,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,4,4,19,999,99.0,99.0,0.44,10.53,9.13,351,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,4,4,49,999,99.0,99.0,0.47,9.88,9.57,339,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,4,5,19,999,99.0,99.0,0.44,10.53,9.34,343,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,4,5,49,999,99.0,99.0,0.45,11.76,8.61,346,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,4,6,19,999,99.0,99.0,0.40,11.76,8.65,348,9999.0,999.0,12.0,999.0,99.0,99.00
2017,1,4,6,49,999,99.0,99.0,0.42,11.76,9.13,349,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,4,7,19,999,99.0,99.0,0.46,11.76,8.62,346,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,4,7,49,999,99.0,99.0,0.42,11.11,9.05,348,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,4,8,19,999,99.0,99.0,0.39,11.76,9.36,346,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,4,8,49,999,99.0,99.0,0.38,11.76,9.08,352,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,4,9,19,999,99.0,99.0,0.41,10.53,9.40,338,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,4,9,49,999,99.0,99.0,0.45,11.76,9.66,352,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,4,10,19,999,99.0,99.0,0.44,11.11,9.35,345,9999.0,999.0,11.8,999.0,99.0,99.00
2017,1,4,10,49,999,99.0,99.0,0.45,11.76,9.49,349,9999.0,999.0,11.8,999.0,99.0,99.00
2017,1,4,11,19,999,99.0,99.0,0.45,11.11,9.54,348,9999.0,999.0,11.8,999.0,99.0,99.00
2017,1,4,11,49,999,99.0,99.0,0.49,11.11,9.68,345,9999.0,999.0,11.9,999.0,99.0,99.00
2017,1,4,12,19,999,99.0,99.0,0.48,11.11,9.40,349,9999.0,999.0,11.9,999.0,99.0,99.00
